X,Y,TimeSinceZero,DateTime,AnimalID,Lat,Long,Speed(m/min),timeDays,timeOfDay,speedCategory,Speed(m/s),dayNum,area,Time,aggregateSpeed(m/min),timeNearby
582513.208988495,-2194915.20041523,416820,2024-01-06 01:47:00,1,-70.3382475355666,59.19772510817399,0.0019477344289792421,4.824305555555555,night,0,3.253293300750248e-05,4,"(4, 24)",71220,0.0019467394626282693,5539
582513.21094187,-2194915.20029785,416880,2024-01-06 01:48:00,1,-70.3382475359858,59.197725160266494,0.001948290389382841,4.825,night,0,3.251367269943761e-05,4,"(4, 24)",71280,0.001947213570527676,5539
582513.212893893,-2194915.20017848,416940,2024-01-06 01:49:00,1,-70.33824753642331,59.197725212325,0.0019470694315932007,4.825694444444444,night,0,3.254207785427702e-05,4,"(4, 24)",71340,0.0019473787275410997,5539
582513.214844359,-2194915.20007881,417000,2024-01-06 01:50:00,1,-70.33824753668479,59.19772526432315,0.0019444228364910218,4.826388888888889,night,0,3.2595884751604406e-05,4,"(4, 24)",71400,0.001947025645439371,5539
582513.21679906,-2194915.19996919,417060,2024-01-06 01:51:00,1,-70.33824753703406,59.19772531644348,0.0019491606488867272,4.827083333333333,night,0,3.260861426927602e-05,4,"(4, 24)",71460,0.001947295354773128,5539
582513.218753164,-2194915.19987539,417120,2024-01-06 01:52:00,1,-70.33824753724177,59.19772536853277,0.0019477502645495332,4.8277777777777775,night,0,3.255054872927143e-05,4,"(4, 24)",71520,0.0019473137635015493,5539
582513.220706712,-2194915.19978823,417180,2024-01-06 01:53:00,1,-70.33824753739016,59.19772542060085,0.0019468899016510308,4.8284722222222225,night,0,3.2545031756493296e-05,4,"(4, 24)",71580,0.001947025347751847,5539
582513.222660576,-2194915.19967806,417240,2024-01-06 01:54:00,1,-70.33824753774462,59.1977254726995,0.001948361822735563,4.829166666666667,night,0,3.2601744850299625e-05,4,"(4, 24)",71640,0.001947296854170978,5539
582513.224614082,-2194915.19962288,417300,2024-01-06 01:55:00,1,-70.33824753760648,59.197725524735716,0.0019456895228552836,4.829861111111111,night,0,3.2633854448132796e-05,4,"(4, 24)",71700,0.0019474677965426565,5539
582513.226569186,-2194915.19951659,417360,2024-01-06 01:56:00,1,-70.33824753792577,59.19772557686358,0.0019493786993949806,4.830555555555556,night,0,3.252907343162975e-05,4,"(4, 24)",71760,0.0019475172183936772,5539
582513.228521949,-2194915.19944049,417420,2024-01-06 01:57:00,1,-70.33824753797532,59.19772562890021,0.0019456519704826546,4.83125,night,0,3.260865695900575e-05,4,"(4, 24)",71820,0.001947090770943729,5539
582513.230474487,-2194915.19934547,417480,2024-01-06 01:58:00,1,-70.33824753819447,59.19772568094894,0.0019462494006548812,4.831944444444445,night,0,3.262429409873976e-05,4,"(4, 24)",71880,0.001946959972679051,5539
